Numerator	Denominator	mpn Kuehner	eco Valgepea 2013 48	sce Nagaraj	sce deGodoy	sce Newman rich	sce Newman minimal	hsa Khan Chimpanzee Protein	hsa Khan Human Protein	hsa Geiger 2012 HeLa	hsa Geiger 2012 U2OS	hsa Nagaraj 2011	hsa Beck
-Other Enzymes	TOTAL	0.06726	0.03961	0.02363	0.02045	0.02118	0.01861	0.01649	0.01774	0.01887	0.01797	0.01926	0.02212
Organismal Systems	TOTAL	0	0	0	0	0	0	0.02459	0.01644	0.007393	0.01096	0.007326	0.01116
-Immune System	TOTAL	0	0	0	0	0	0	0.006967	0.006709	0.001389	0.000967	0.0003035	0.0003896
-Endocrine System	TOTAL	0	0	0	0	0	0	0.0109	0.00338	0.001401	0.003831	0.0002451	0.005836
-Circulatory System	TOTAL	0	0	0	0	0	0	0.001706	0.00148	0.002353	0.003772	0.00135	0.000491
-Digestive System	TOTAL	0	0	0	0	0	0	0.0001158	0.0001001	0.0007941	0.0005865	0.001502	0.001074
-Excretory System	TOTAL	0	0	0	0	0	0	0.004439	0.004261	0.0009914	0.001182	0.002236	0.002323
-Nervous System	TOTAL	0	0	0	0	0	0	0.0001412	0.0002128	1.626e-05	2.805e-05	0.0002209	0.0003926
-Sensory System	TOTAL	0	0	0	0	0	0	0	0	0	0	0	0
-Development	TOTAL	0	0	0	0	0	0	0.0003266	0.0002992	0.0004485	0.0005921	0.001435	0.0006504
-Environmental Adaptation	TOTAL	0	0	0	0	0	0	0	0	0	0	3.299e-05	6.671e-06
Human Diseases	TOTAL	0	0	0	0	0	0	0.004263	0.004297	0.004341	0.004496	0.003757	0.002141
-Cancers	TOTAL	0	0	0	0	0	0	0.0008986	0.0009579	0.00171	0.00179	0.001101	0.0009606
-Immune System Diseases	TOTAL	0	0	0	0	0	0	0.001511	0.001246	0.0005018	0.0008478	0.000318	0.0005857
-Neurodegenerative Diseases	TOTAL	0	0	0	0	0	0	0.0008663	0.001169	0.001205	0.0009165	0.0006414	0.00013
-Cardiovascular Diseases	TOTAL	0	0	0	0	0	0	0.0002451	0.0002144	0.0004463	0.0003067	0.0006497	9.155e-05
-Infectious Diseases	TOTAL	0	0	0	0	0	0	0.0007414	0.0007104	0.0004772	0.0006347	0.001047	0.000373
Not Mapped	TOTAL	0.1975	0.07465	0.151	0.1073	0.1717	0.174	0.2076	0.2038	0.1974	0.2058	0.2129	0.1053
-Not Mapped	TOTAL	0.1975	0.07465	0.151	0.1073	0.1717	0.174	0.2076	0.2038	0.1974	0.2058	0.2129	0.1053
TOTAL	MAPPED	1.246	1.081	1.178	1.12	1.207	1.211	1.262	1.256	1.246	1.259	1.27	1.118
MAPPED	MAPPED	1	1	1	1	1	1	1	1	1	1	1	1
Genetic Information Processing	MAPPED	0.4112	0.5421	0.54	0.4688	0.5219	0.4796	0.5024	0.5043	0.6109	0.5911	0.4685	0.4786
-Transcription	MAPPED	0.02554	0.05606	0.01107	0.007516	0.0185	0.01672	0.06394	0.06232	0.06059	0.05508	0.04797	0.05086
-Translation	MAPPED	0.1858	0.3949	0.4002	0.3103	0.3589	0.3245	0.156	0.1579	0.2626	0.2487	0.1502	0.1999
-Folding, Sorting and Degradation	MAPPED	0.1426	0.06971	0.1138	0.1434	0.1162	0.1072	0.2288	0.2277	0.16	0.176	0.2033	0.1722
-DNA Maintenance	MAPPED	0.05725	0.02144	0.01496	0.007602	0.02826	0.03117	0.05368	0.05631	0.1278	0.1112	0.06704	0.05566
-RNA Family	MAPPED	0	5.161e-11	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	MAPPED	0.008534	0.007856	0.01196	0.00987	0.0109	0.008917	0.04889	0.0459	0.05553	0.06028	0.04228	0.05465
-Signal Transduction	MAPPED	0.0006314	0.007856	0.002809	0.002603	0.005509	0.004339	0.01927	0.01961	0.02345	0.0236	0.01902	0.01334
-Signaling Molecules and Interaction	MAPPED	0.007903	2.064e-10	0.009151	0.007267	0.00539	0.004578	0.02962	0.02629	0.03208	0.03669	0.02326	0.04131
Cellular Processes	MAPPED	0.05342	0.01116	0.01869	0.02585	0.04772	0.04722	0.1305	0.1185	0.1283	0.1467	0.2208	0.2139
-Hemoglobin	MAPPED	0	0	0	0	0	0	0	0	5.195e-06	8.824e-06	0	4.213e-05
-Vesicular Transport	MAPPED	0	5.161e-11	0.007317	0.009388	0.01086	0.01096	0.02714	0.0324	0.01933	0.02214	0.02339	0.02893
-Cytoskeleton	MAPPED	0.02334	0.003404	0.004551	0.00923	0.006083	0.006259	0.08255	0.06538	0.09055	0.1006	0.1697	0.1673
-Cell Motility	MAPPED	0	0.005984	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	MAPPED	0.03008	0.001777	0.006819	0.007228	0.03078	0.03	0.01507	0.0142	0.01321	0.01644	0.01598	0.01419
-Cell Communication	MAPPED	0	0	0	0	0	0	0.005766	0.006492	0.005196	0.007473	0.01174	0.00348
Metabolism	MAPPED	0.5268	0.4388	0.4293	0.4955	0.4195	0.4643	0.2818	0.3053	0.1906	0.1825	0.2543	0.238
-Membrane Transport	MAPPED	0.04697	0.05996	0.01053	0.004112	0.003765	0.00311	0.0004476	0.000466	0.001883	0.001002	0.001189	0.0005854
-Central Carbon Metabolism	MAPPED	0.2708	0.1281	0.2407	0.2779	0.2498	0.2455	0.1491	0.1714	0.07777	0.08116	0.1358	0.1558
-Energy Metabolism	MAPPED	0.04568	0.0217	0.02238	0.02433	0.01614	0.02179	0.0505	0.04766	0.02979	0.02254	0.02616	0.008478
-Biosynthesis	MAPPED	0.0796	0.1863	0.1279	0.1662	0.1242	0.1713	0.06094	0.06352	0.05766	0.0552	0.06662	0.04842
-Other Enzymes	MAPPED	0.08381	0.0428	0.02783	0.02291	0.02557	0.02253	0.02081	0.02228	0.02351	0.02263	0.02447	0.02473
Organismal Systems	MAPPED	0	0	0	0	0	0	0.03104	0.02065	0.009211	0.0138	0.009307	0.01248
-Immune System	MAPPED	0	0	0	0	0	0	0.008793	0.008427	0.00173	0.001218	0.0003856	0.0004355
-Endocrine System	MAPPED	0	0	0	0	0	0	0.01375	0.004246	0.001746	0.004824	0.0003114	0.006523
-Circulatory System	MAPPED	0	0	0	0	0	0	0.002153	0.001859	0.002932	0.004749	0.001716	0.0005488
-Digestive System	MAPPED	0	0	0	0	0	0	0.0001461	0.0001258	0.0009893	0.0007385	0.001908	0.0012
-Excretory System	MAPPED	0	0	0	0	0	0	0.005602	0.005352	0.001235	0.001488	0.00284	0.002596
-Nervous System	MAPPED	0	0	0	0	0	0	0.0001782	0.0002673	2.025e-05	3.532e-05	0.0002807	0.0004387
-Sensory System	MAPPED	0	0	0	0	0	0	0	0	0	0	0	0
-Development	MAPPED	0	0	0	0	0	0	0.0004122	0.0003758	0.0005588	0.0007456	0.001823	0.0007269
-Environmental Adaptation	MAPPED	0	0	0	0	0	0	0	0	0	0	4.192e-05	7.456e-06
Human Diseases	MAPPED	0	0	0	0	0	0	0.00538	0.005397	0.005408	0.005661	0.004773	0.002393
-Cancers	MAPPED	0	0	0	0	0	0	0.001134	0.001203	0.00213	0.002254	0.001398	0.001074
-Immune System Diseases	MAPPED	0	0	0	0	0	0	0.001907	0.001564	0.0006252	0.001067	0.000404	0.0006546
-Neurodegenerative Diseases	MAPPED	0	0	0	0	0	0	0.001093	0.001468	0.001502	0.001154	0.0008148	0.0001452
-Cardiovascular Diseases	MAPPED	0	0	0	0	0	0	0.0003093	0.0002693	0.000556	0.0003862	0.0008255	0.0001023
-Infectious Diseases	MAPPED	0	0	0	0	0	0	0.0009356	0.0008922	0.0005945	0.0007992	0.001331	0.0004169
Not Mapped	MAPPED	0.2461	0.08067	0.1779	0.1202	0.2073	0.2106	0.262	0.256	0.2459	0.2592	0.2705	0.1177
-Not Mapped	MAPPED	0.2461	0.08067	0.1779	0.1202	0.2073	0.2106	0.262	0.256	0.2459	0.2592	0.2705	0.1177
TOTAL	Genetic Information Processing	3.03	1.993	2.181	2.389	2.313	2.524	2.512	2.491	2.039	2.13	2.712	2.335
MAPPED	Genetic Information Processing	2.432	1.845	1.852	2.133	1.916	2.085	1.991	1.983	1.637	1.692	2.134	2.09
Genetic Information Processing	Genetic Information Processing	1	1	1	1	1	1	1	1	1	1	1	1
-Transcription	Genetic Information Processing	0.06211	0.1034	0.0205	0.01603	0.03545	0.03487	0.1273	0.1236	0.09917	0.09319	0.1024	0.1063
-Translation	Genetic Information Processing	0.4519	0.7285	0.741	0.6618	0.6878	0.6767	0.3105	0.3131	0.4298	0.4208	0.3205	0.4176
-Folding, Sorting and Degradation	Genetic Information Processing	0.3468	0.1286	0.2108	0.3059	0.2226	0.2235	0.4554	0.4516	0.2618	0.2978	0.434	0.3598
-DNA Maintenance	Genetic Information Processing	0.1392	0.03955	0.0277	0.01621	0.05415	0.06499	0.1069	0.1117	0.2092	0.1882	0.1431	0.1163
-RNA Family	Genetic Information Processing	0	9.52e-11	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	Genetic Information Processing	0.02075	0.01449	0.02215	0.02105	0.02088	0.01859	0.09732	0.09103	0.09089	0.102	0.09025	0.1142
-Signal Transduction	Genetic Information Processing	0.001535	0.01449	0.005201	0.005552	0.01056	0.009048	0.03836	0.03889	0.03838	0.03992	0.0406	0.02789
-Signaling Molecules and Interaction	Genetic Information Processing	0.01922	3.808e-10	0.01695	0.0155	0.01033	0.009545	0.05896	0.05214	0.05251	0.06207	0.04965	0.08632
Cellular Processes	Genetic Information Processing	0.1299	0.02059	0.03461	0.05513	0.09144	0.09846	0.2598	0.2349	0.21	0.2481	0.4714	0.447
-Hemoglobin	Genetic Information Processing	0	0	0	0	0	0	0	0	8.503e-06	1.493e-05	0	8.803e-05
-Vesicular Transport	Genetic Information Processing	0	9.52e-11	0.01355	0.02002	0.0208	0.02285	0.05403	0.06424	0.03164	0.03745	0.04993	0.06046
-Cytoskeleton	Genetic Information Processing	0.05676	0.006279	0.008427	0.01969	0.01166	0.01305	0.1643	0.1296	0.1482	0.1702	0.3623	0.3495
-Cell Motility	Genetic Information Processing	0	0.01104	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	Genetic Information Processing	0.07316	0.003279	0.01263	0.01542	0.05897	0.06255	0.03001	0.02817	0.02162	0.02781	0.0341	0.02964
-Cell Communication	Genetic Information Processing	0	0	0	0	0	0	0.01148	0.01287	0.008504	0.01264	0.02506	0.007271
Metabolism	Genetic Information Processing	1.281	0.8095	0.795	1.057	0.8039	0.968	0.5609	0.6054	0.312	0.3088	0.5427	0.4974
-Membrane Transport	Genetic Information Processing	0.1142	0.1106	0.01951	0.008771	0.007215	0.006484	0.000891	0.0009241	0.003082	0.001696	0.002537	0.001223
-Central Carbon Metabolism	Genetic Information Processing	0.6584	0.2362	0.4458	0.5927	0.4787	0.5119	0.2968	0.3398	0.1273	0.1373	0.2899	0.3256
-Energy Metabolism	Genetic Information Processing	0.1111	0.04003	0.04145	0.05189	0.03094	0.04544	0.1005	0.09451	0.04876	0.03814	0.05583	0.01771
-Biosynthesis	Genetic Information Processing	0.1936	0.3436	0.2368	0.3546	0.2381	0.3572	0.1213	0.126	0.09438	0.09339	0.1422	0.1012
-Other Enzymes	Genetic Information Processing	0.2038	0.07895	0.05153	0.04887	0.049	0.04697	0.04142	0.04419	0.03848	0.03828	0.05223	0.05167
Organismal Systems	Genetic Information Processing	0	0	0	0	0	0	0.06178	0.04095	0.01508	0.02334	0.01986	0.02607
-Immune System	Genetic Information Processing	0	0	0	0	0	0	0.0175	0.01671	0.002832	0.00206	0.000823	0.0009099
-Endocrine System	Genetic Information Processing	0	0	0	0	0	0	0.02737	0.008419	0.002858	0.008162	0.0006648	0.01363
-Circulatory System	Genetic Information Processing	0	0	0	0	0	0	0.004285	0.003685	0.004799	0.008035	0.003662	0.001147
-Digestive System	Genetic Information Processing	0	0	0	0	0	0	0.0002909	0.0002494	0.001619	0.001249	0.004073	0.002507
-Excretory System	Genetic Information Processing	0	0	0	0	0	0	0.01115	0.01061	0.002022	0.002517	0.006062	0.005426
-Nervous System	Genetic Information Processing	0	0	0	0	0	0	0.0003547	0.0005301	3.315e-05	5.975e-05	0.0005991	0.0009168
-Sensory System	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	0	0
-Development	Genetic Information Processing	0	0	0	0	0	0	0.0008206	0.0007452	0.0009147	0.001261	0.003891	0.001519
-Environmental Adaptation	Genetic Information Processing	0	0	0	0	0	0	0	0	0	0	8.947e-05	1.558e-05
Human Diseases	Genetic Information Processing	0	0	0	0	0	0	0.01071	0.0107	0.008852	0.009578	0.01019	0.005
-Cancers	Genetic Information Processing	0	0	0	0	0	0	0.002258	0.002386	0.003487	0.003814	0.002984	0.002243
-Immune System Diseases	Genetic Information Processing	0	0	0	0	0	0	0.003797	0.003102	0.001023	0.001806	0.0008624	0.001368
-Neurodegenerative Diseases	Genetic Information Processing	0	0	0	0	0	0	0.002176	0.002911	0.002458	0.001953	0.001739	0.0003035
-Cardiovascular Diseases	Genetic Information Processing	0	0	0	0	0	0	0.0006157	0.0005341	0.0009101	0.0006534	0.001762	0.0002138
-Infectious Diseases	Genetic Information Processing	0	0	0	0	0	0	0.001862	0.001769	0.0009732	0.001352	0.00284	0.0008712
Not Mapped	Genetic Information Processing	0.5984	0.1488	0.3293	0.2564	0.3972	0.4392	0.5216	0.5077	0.4025	0.4385	0.5773	0.2459
-Not Mapped	Genetic Information Processing	0.5984	0.1488	0.3293	0.2564	0.3972	0.4392	0.5216	0.5077	0.4025	0.4385	0.5773	0.2459
TOTAL	-Transcription	48.79	19.28	106.4	149.1	65.25	72.39	19.74	20.15	20.56	22.86	26.49	21.98
MAPPED	-Transcription	39.15	17.84	90.31	133.1	54.05	59.79	15.64	16.05	16.51	18.16	20.85	19.66
Genetic Information Processing	-Transcription	16.1	9.671	48.77	62.38	28.21	28.68	7.857	8.091	10.08	10.73	9.767	9.409
-Transcription	-Transcription	1	1	1	1	1	1	1	1	1	1	1	1
-Translation	-Transcription	7.275	7.045	36.14	41.28	19.4	19.41	2.439	2.534	4.334	4.515	3.131	3.929
-Folding, Sorting and Degradation	-Transcription	5.584	1.243	10.28	19.09	6.279	6.408	3.578	3.654	2.64	3.196	4.239	3.386
-DNA Maintenance	-Transcription	2.242	0.3825	1.351	1.011	1.527	1.864	0.8396	0.9035	2.109	2.02	1.398	1.094
-RNA Family	-Transcription	0	9.206e-10	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Transcription	0.3341	0.1401	1.08	1.313	0.5891	0.5332	0.7647	0.7366	0.9165	1.094	0.8815	1.075
-Signal Transduction	-Transcription	0.02472	0.1401	0.2537	0.3464	0.2977	0.2595	0.3014	0.3147	0.387	0.4284	0.3965	0.2624
-Signaling Molecules and Interaction	-Transcription	0.3094	3.682e-09	0.8265	0.9669	0.2913	0.2737	0.4633	0.4219	0.5295	0.6661	0.4849	0.8122
Cellular Processes	-Transcription	2.092	0.1992	1.688	3.439	2.579	2.824	2.042	1.901	2.117	2.663	4.604	4.206
-Hemoglobin	-Transcription	0	0	0	0	0	0	0	0	8.574e-05	0.0001602	0	0.0008283
-Vesicular Transport	-Transcription	0	9.206e-10	0.6609	1.249	0.5868	0.6554	0.4245	0.5198	0.3191	0.4019	0.4877	0.5689
-Cytoskeleton	-Transcription	0.9139	0.06072	0.411	1.228	0.3288	0.3743	1.291	1.049	1.495	1.826	3.539	3.289
-Cell Motility	-Transcription	0	0.1067	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Transcription	1.178	0.03171	0.6159	0.9618	1.663	1.794	0.2358	0.2279	0.218	0.2984	0.3331	0.2789
-Cell Communication	-Transcription	0	0	0	0	0	0	0.09018	0.1042	0.08576	0.1357	0.2447	0.06842
Metabolism	-Transcription	20.63	7.828	38.77	65.92	22.67	27.76	4.407	4.899	3.146	3.314	5.301	4.68
-Membrane Transport	-Transcription	1.839	1.07	0.9515	0.5472	0.2035	0.1859	0.007001	0.007477	0.03108	0.0182	0.02478	0.01151
-Central Carbon Metabolism	-Transcription	10.6	2.285	21.74	36.97	13.5	14.68	2.332	2.75	1.284	1.473	2.832	3.063
-Energy Metabolism	-Transcription	1.789	0.3872	2.021	3.237	0.8726	1.303	0.7898	0.7647	0.4916	0.4093	0.5453	0.1667
-Biosynthesis	-Transcription	3.116	3.323	11.55	22.12	6.714	10.24	0.9531	1.019	0.9517	1.002	1.389	0.9519
-Other Enzymes	-Transcription	3.281	0.7635	2.513	3.049	1.382	1.347	0.3254	0.3575	0.388	0.4108	0.5102	0.4862
Organismal Systems	-Transcription	0	0	0	0	0	0	0.4854	0.3314	0.152	0.2505	0.194	0.2453
-Immune System	-Transcription	0	0	0	0	0	0	0.1375	0.1352	0.02856	0.02211	0.008038	0.008562
-Endocrine System	-Transcription	0	0	0	0	0	0	0.2151	0.06813	0.02882	0.08758	0.006493	0.1282
-Circulatory System	-Transcription	0	0	0	0	0	0	0.03367	0.02982	0.04839	0.08622	0.03577	0.01079
-Digestive System	-Transcription	0	0	0	0	0	0	0.002286	0.002018	0.01633	0.01341	0.03978	0.02359
-Excretory System	-Transcription	0	0	0	0	0	0	0.08762	0.08588	0.02039	0.02702	0.05921	0.05105
-Nervous System	-Transcription	0	0	0	0	0	0	0.002787	0.00429	0.0003343	0.0006412	0.005851	0.008626
-Sensory System	-Transcription	0	0	0	0	0	0	0	0	0	0	0	0
-Development	-Transcription	0	0	0	0	0	0	0.006447	0.006029	0.009224	0.01354	0.038	0.01429
-Environmental Adaptation	-Transcription	0	0	0	0	0	0	0	0	0	0	0.0008738	0.0001466
Human Diseases	-Transcription	0	0	0	0	0	0	0.08414	0.0866	0.08926	0.1028	0.09951	0.04705
-Cancers	-Transcription	0	0	0	0	0	0	0.01774	0.0193	0.03516	0.04092	0.02915	0.02111
-Immune System Diseases	-Transcription	0	0	0	0	0	0	0.02983	0.0251	0.01032	0.01938	0.008423	0.01287
-Neurodegenerative Diseases	-Transcription	0	0	0	0	0	0	0.0171	0.02356	0.02479	0.02095	0.01699	0.002856
-Cardiovascular Diseases	-Transcription	0	0	0	0	0	0	0.004838	0.004322	0.009177	0.007012	0.01721	0.002012
-Infectious Diseases	-Transcription	0	0	0	0	0	0	0.01463	0.01432	0.009813	0.01451	0.02774	0.008197
Not Mapped	-Transcription	9.635	1.439	16.06	16	11.2	12.59	4.098	4.108	4.059	4.705	5.638	2.314
-Not Mapped	-Transcription	9.635	1.439	16.06	16	11.2	12.59	4.098	4.108	4.059	4.705	5.638	2.314
TOTAL	-Translation	6.706	2.736	2.943	3.61	3.364	3.73	8.091	7.954	4.745	5.063	8.46	5.593
MAPPED	-Translation	5.382	2.532	2.499	3.223	2.786	3.081	6.411	6.333	3.808	4.021	6.659	5.004
Genetic Information Processing	-Translation	2.213	1.373	1.35	1.511	1.454	1.478	3.221	3.194	2.327	2.377	3.12	2.395
-Transcription	-Translation	0.1375	0.142	0.02767	0.02422	0.05155	0.05153	0.4099	0.3947	0.2307	0.2215	0.3194	0.2545
-Translation	-Translation	1	1	1	1	1	1	1	1	1	1	1	1
-Folding, Sorting and Degradation	-Translation	0.7675	0.1765	0.2844	0.4623	0.3237	0.3302	1.467	1.442	0.6092	0.7078	1.354	0.8616
-DNA Maintenance	-Translation	0.3081	0.05429	0.03739	0.0245	0.07873	0.09604	0.3442	0.3566	0.4867	0.4473	0.4464	0.2785
-RNA Family	-Translation	0	1.307e-10	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing	-Translation	0.04593	0.01989	0.02989	0.03181	0.03037	0.02748	0.3135	0.2907	0.2115	0.2424	0.2816	0.2735
-Signal Transduction	-Translation	0.003398	0.01989	0.007019	0.00839	0.01535	0.01337	0.1236	0.1242	0.0893	0.09487	0.1267	0.06677
-Signaling Molecules and Interaction	-Translation	0.04253	5.227e-10	0.02287	0.02342	0.01502	0.01411	0.1899	0.1665	0.1222	0.1475	0.1549	0.2067
Cellular Processes	-Translation	0.2875	0.02827	0.0467	0.0833	0.1329	0.1455	0.8369	0.7502	0.4886	0.5897	1.471	1.07
-Hemoglobin	-Translation	0	0	0	0	0	0	0	0	1.978e-05	3.548e-05	0	0.0002108
-Vesicular Transport	-Translation	0	1.307e-10	0.01829	0.03026	0.03025	0.03377	0.174	0.2052	0.07362	0.08901	0.1558	0.1448
-Cytoskeleton	-Translation	0.1256	0.008619	0.01137	0.02975	0.01695	0.01929	0.5293	0.414	0.3448	0.4045	1.13	0.8369
-Cell Motility	-Translation	0	0.01515	0	0	0	0	0	0	0	0	0	0
-Cell Growth and Death	-Translation	0.1619	0.004501	0.01704	0.0233	0.08575	0.09244	0.09665	0.08995	0.05031	0.06608	0.1064	0.07099
-Cell Communication	-Translation	0	0	0	0	0	0	0.03697	0.04112	0.01979	0.03005	0.07818	0.01741
Metabolism	-Translation	2.835	1.111	1.073	1.597	1.169	1.431	1.807	1.933	0.7259	0.7339	1.693	1.191
-Membrane Transport	-Translation	0.2528	0.1518	0.02633	0.01325	0.01049	0.009582	0.00287	0.002951	0.007171	0.00403	0.007916	0.002929
-Central Carbon Metabolism	-Translation	1.457	0.3243	0.6016	0.8956	0.696	0.7565	0.956	1.085	0.2962	0.3263	0.9045	0.7796
-Energy Metabolism	-Translation	0.2459	0.05496	0.05593	0.07841	0.04498	0.06715	0.3238	0.3018	0.1134	0.09064	0.1742	0.04242
-Biosynthesis	-Translation	0.4284	0.4717	0.3195	0.5357	0.3461	0.5279	0.3907	0.4023	0.2196	0.222	0.4436	0.2423
-Other Enzymes	-Translation	0.4511	0.1084	0.06954	0.07385	0.07124	0.06941	0.1334	0.1411	0.08953	0.09098	0.163	0.1237
Organismal Systems	-Translation	0	0	0	0	0	0	0.199	0.1308	0.03508	0.05548	0.06197	0.06243
-Immune System	-Translation	0	0	0	0	0	0	0.05637	0.05337	0.006589	0.004896	0.002567	0.002179
-Endocrine System	-Translation	0	0	0	0	0	0	0.08817	0.02689	0.006649	0.0194	0.002074	0.03264
-Circulatory System	-Translation	0	0	0	0	0	0	0.0138	0.01177	0.01116	0.0191	0.01142	0.002746
-Digestive System	-Translation	0	0	0	0	0	0	0.0009369	0.0007966	0.003768	0.002969	0.01271	0.006004
-Excretory System	-Translation	0	0	0	0	0	0	0.03592	0.0339	0.004704	0.005983	0.01891	0.01299
-Nervous System	-Translation	0	0	0	0	0	0	0.001142	0.001693	7.713e-05	0.000142	0.001869	0.002195
-Sensory System	-Translation	0	0	0	0	0	0	0	0	0	0	0	0
-Development	-Translation	0	0	0	0	0	0	0.002643	0.00238	0.002128	0.002998	0.01214	0.003637
-Environmental Adaptation	-Translation	0	0	0	0	0	0	0	0	0	0	0.0002791	3.731e-05
Human Diseases	-Translation	0	0	0	0	0	0	0.03449	0.03418	0.0206	0.02276	0.03179	0.01197
-Cancers	-Translation	0	0	0	0	0	0	0.007271	0.007619	0.008114	0.009063	0.009311	0.005372
-Immune System Diseases	-Translation	0	0	0	0	0	0	0.01223	0.009907	0.002381	0.004292	0.00269	0.003276
-Neurodegenerative Diseases	-Translation	0	0	0	0	0	0	0.007009	0.009298	0.005719	0.00464	0.005426	0.0007268
-Cardiovascular Diseases	-Translation	0	0	0	0	0	0	0.001983	0.001706	0.002117	0.001553	0.005497	0.000512
-Infectious Diseases	-Translation	0	0	0	0	0	0	0.005999	0.00565	0.002264	0.003214	0.008862	0.002086
Not Mapped	-Translation	1.324	0.2043	0.4445	0.3875	0.5775	0.649	1.68	1.621	0.9365	1.042	1.801	0.5888
-Not Mapped	-Translation	1.324	0.2043	0.4445	0.3875	0.5775	0.649	1.68	1.621	0.9365	1.042	1.801	0.5888
TOTAL	-Folding, Sorting and Degradation	8.738	15.5	10.35	7.81	10.39	11.3	5.516	5.515	7.788	7.153	6.248	6.491
MAPPED	-Folding, Sorting and Degradation	7.012	14.35	8.786	6.972	8.608	9.331	4.371	4.391	6.251	5.681	4.918	5.807
Genetic Information Processing	-Folding, Sorting and Degradation	2.883	7.777	4.744	3.269	4.492	4.475	2.196	2.214	3.819	3.358	2.304	2.779
-Transcription	-Folding, Sorting and Degradation	0.1791	0.8042	0.09728	0.0524	0.1593	0.1561	0.2795	0.2737	0.3787	0.3129	0.2359	0.2954
