K02983	RPS30A:YLR287C-A
K08197	SIT1:YEL065W
K14236	SUP6:tY_GUA_F2
K14236	SUP11:tY_GUA_F1
K02331	POL5:YEL055C
K15275	HUT1:YPL244C
K14013	UBX2:YML013W
K07179	RIO2:YNL207W
K14263	BNA7:YDR428C
K02877	RPL15A:YLR029C
K06689	UBC4:YBR082C
K16261	SAM3:YPL274W
K03007	RPB10:YOR210W
K18173	COA1:YIL157C
K17743	GRE3:YHR104W
K03019	RPC11:YDR045C
K08139	Hxt4:YHR092C
K08486	SSO1:YPL232W
sce_YKR083C	Dad2:YKR083C
K06062	GCN5:YGR252W
K06670	MCD1:YDL003W
K10881	SEM1:YDR363W-A
K02989	RPS5:YJR123W
K00026	MDH3:YDL078C
K03869	CUL3:YGR003W
K01251	SAH1:YER043C
K11087	SMD1:YGR074W
K16261	MMP1:YLL061W
K12577	FOB1:YDR110W
K02891	RPL22A:YLR061W
K03509	RAD30:YDR419W
K03253	PRT1:YOR361C
K10731	SLD3:YGL113W
K09291	MLP1:YKR095W
K11366	UBP8:YMR223W
K14154	THI6:YPL214C
K17783	ERV1:YGR029W
K02891	RPL22B:YFL034C-A
K16075	MRS2:YOR334W
K01082	MET22:YOL064C
K02540	MCM2:YBL023C
K15150	CSE2:YNR010W
K00791	MOD5:YOR274W
K17945	TPM1:YNL079C
K11841	UBP3:YER151C
K18191	FMC1:YIL098C
K08850	IPL1:YPL209C
K13628	ISA1:YLL027W
K14236	SUP2:tY_GUA_D
K06687	NET1:YJL076W
K00888	PIK1:YNL267W
K10364	CAP1:YKL007W
K07466	RFA1:YAR007C
K11362	HFI1:YPL254W
K06210	NMA2:YGR010W
K06682	TEM1:YML064C
K00765	HIS1:YER055C
K11849	UBP2:YOR124C
K02220	CLB2:YPR119W
K07541	PBN1:YCL052C
K00819	CAR2:YLR438W
K02937	RLP7:YNL002C
K18177	COA4:YLR218C
K14315	NDC1:YML031W
K14844	PUF6:YDR496C
K02555	MIH1:YMR036C
K01705	LYS4:YDR234W
K15356	HVG1:YER039C
K14290	CRM1:YGR218W
K01336	PRB1:YEL060C
K01495	FOL2:YGR267C
K17907	ATG9:YDL149W
K14228	SUP54:tL_CAA_G2
K01637	ICL2:YPR006C
K02964	RPS18B:YML026C
K10686	UBA3:YPR066W
K07151	STT3:YGL022W
K11824	APL3:YBL037W
K15429	TRM5:YHR070W
K00412	BI4:Q0120
K05534	HOC1:YJR075W
K14233	tS(AGA)D2:tS_AGA_D2
K01262	FRA1:YLL029W
K09074	TYE7:YOR344C
K03349	APC2:YLR127C
K11482	HOS1:YPR068C
K08956	AFG3:YER017C
K15529	POA1:YBR022W
K14002	SCJ1:YMR214W
K00287	DFR1:YOR236W
K01210	EXG2:YDR261C
K02922	RPL37B:YDR500C
K15171	SPT4:YGR063C
K02140	ATP20:YPR020W
K12823	DBP2:YNL112W
K14454	AAT2:YLR027C
K02930	RPL4A:YBR031W
K03347	CDC53:YDL132W
K03386	PRX1:YBL064C
K14856	SDA1:YGR245C
K00031	IDP3:YNL009W
K03107	SRP68:YPL243W
K06215	SNZ1:YMR096W
K11088	SMD3:YLR147C
K02977	RPS31:YLR167W
K15220	RRN9:YMR270C
K07936	GSP1:YLR293C
K03035	RPN5:YDL147W
K02181	BFA1:YJR053W
K02220	CLB1:YGR108W
K06667	CAK1:YFL029C
K01265	MAP2:YBL091C
K14830	MAK11:YKL021C
K12821	PRP40:YKL012W
K03233	CAM1:YPL048W
K02980	RPS29A:YLR388W
K00618	ARG2:YJL071W
K08968	Ykg9:YKL069W
K17808	ZIM17:YNL310C
K03061	RPT1:YKL145W
K06269	PPQ1:YPL179W
K14808	DBP10:YDL031W
K03686	MDJ1:YFL016C
K12411	YHP1:YDR451C
K01549	TIM11:YDR322C-A
K08286	PTK1:YKL198C
K04718	LCB5:YLR260W
K17660	CBP1:YJL209W
K18045	SIW14:YNL032W
K01834	GPM1:YKL152C
K10841	RAD26:YJR035W
K01254	LAP2:YNL045W
K03850	DIE2:YGR227W
K10413	DYN1:YKR054C
K06660	CDC5:YMR001C
K15564	CTK2:YJL006C
K03845	ALG3:YBL082C
K02942	RPP1A:YDL081C
K00290	LYS1:YIR034C
K07943	CIN4:YMR138W
K15443	TRM82:YDR165W
K00382	LPD1:YFL018C
K10755	RFC2:YJR068W
K03854	YUR1:YJL139C
K04482	RAD51:YER095W
K17984	ATG32:YIL146C
K00107	ALO1:YML086C
K01866	MSY1:YPL097W
K18723	GLE1:YDL207W
K06688	UBC11:YOR339C
K02889	RPL21B:YPL079W
K11121	HST2:YPL015C
K12601	SKI8:YGL213C
K02880	RPL17A:YKL180W
K15161	SSN8:YNL025C
K08488	VAM3:YOR106W
K12844	PRP31:YGR091W
K00730	OST4:YDL232W
K12761	SNF1:YDR477W
K11244	WSC3:YOL105C
K11594	DBP1:YPL119C
K00826	BAT2:YJR148W
K14219	tR(ACG)Q2:tR_ACG_Q2
K03097	CKA1:YIL035C
K02263	Cox5b:YIL111W
K08675	PIM1:YBL022C
K14654	RIB7:YBR153W
K11344	EAF6:YJR082C
K11582	SGO1:YOR073W
K11244	SLG1:YOR008C
K17787	MIC12:YBR262C
K11838	UBP15:YMR304W
K10590	UFD4:YKL010C
K02434	PET112:YBL080C
K03004	RPA43:YOR340C
sce_YER070W	Rnr1:YER070W
K11808	ADE2:YOR128C
K10773	NTG1:YAL015C
K10908	RPO41:YFL036W
K00664	ATF2:YGR177C
sce_YIR019C	Muc1:YIR019C
K02685	PRI2:YKL045W
K12627	LSM8:YJR022W
K15100	CTP1:YBR291C
K12862	PRP46:YPL151C
K02896	RLP24:YLR009W
K01452	CDA2:YLR308W
K01613	PSD1:YNL169C
K06658	PHO4:YFR034C
K18658	ASH1:YKL185W
K16946	SHS1:YDL225W
K06902	ATG22:YCL038C
K00789	SAM1:YLR180W
K10842	TFB3:YDR460W
K14233	tS(AGA)D1:tS_AGA_D1
K01580	GAD1:YMR250W
K03123	TOA2:YKL058W
K00026	MDH1:YKL085W
K01597	MVD1:YNR043W
K01120	PDE2:YOR360C
K01872	ALA1:YOR335C
K12867	SYF1:YDR416W
K18182	COX16:YJL003W
K10352	MYO1:YHR023W
K01106	INP54:YOL065C
K15271	HFM1:YGL251C
K08178	JEN1:YKL217W
K02927	RPL40B:YKR094C
K17662	CBP3:YPL215W
K16073	ALR1:YOL130W
K05765	COF1:YLL050C
K01802	CPR2:YHR057C
K01807	RKI1:YOR095C
K09880	UTR4:YEL038W
K00664	ATF1:YOR377W
K01858	INO1:YJL153C
K06269	PPZ2:YDR436W
K00728	PMT6:YGR199W
K15070	MDM30:YLR368W
K10579	UBC12:YLR306W
K00222	ERG24:YNL280C
K01817	TRP1:YDR007W
K00632	POT1:YIL160C
K08139	HXT17:YNR072W
K13162	PBP2:YBR233W
K03144	TFB2:YPL122C
K12776	MEK1:YOR351C
K17770	TOM20:YGR082W
K17804	TIM44:YIL022W
K03005	RPA49:YNL248C
K15452	PUS2:YGL063W
K14675	Tgl3:YMR313C
K12187	MVB12:YGR206W
K14308	NUP57:YGR119C
K11402	SAS4:YDR181C
K02893	RPL25:YOL127W
K02152	VMA10:YHR039C-A
K08286	TOS3:YGL179C
K15462	ATS1:YAL020C
K11118	RIF1:YBR275C
K00604	FMT1:YBL013W
K07897	YPT7:YML001W
K08157	TPO1:YLL028W
K02358	Tuf1:YOR187W
sce_YER016W	Bim1:YER016W
K01012	BIO2:YGR286C
K15109	CRC1:YOR100C
K08991	MUS81:YDR386W
K01951	GUA1:YMR217W
K17053	ABP140:YOR239W
K14235	tW(CCA)M:tW_CCA_M
K00939	ADK2:YER170W
K11002	ERI1:YPL096C-A
K14235	tW(CCA)K:tW_CCA_K
K11380	NTO1:YPR031W
K08490	SED5:YLR026C
K14408	Rna14:YMR061W
K18759	EDC2:YER035W
K01655	LYS21:YDL131W
K15732	FCP1:YMR277W
K02256	COX1:Q0045
K08681	SNO1:YMR095C
K12830	RSE1:YML049C
sce_YBR067C	Tip1:YBR067C
K02257	COX10:YPL172C
K17900	ATG15:YCR068W
K02605	ORC3:YLL004W
K00297	MET13:YGL125W
K01078	DIA3:YDL024C
K00237	SHH4:YLR164W
K02870	RPL12A:YEL054C
K18731	GFD1:YMR255W
K03685	RNT1:YMR239C
K00602	ADE16:YLR028C
K11359	SPT7:YBR081C
K02262	COX3:Q0275
K02915	RPL34A:YER056C-A
K14023	HRD3:YLR207W
K09885	AQY1:YPR192W
K10754	RFC1:YOR217W
K02321	POL12:YBL035C
K14558	Pwp2:YCR057C
K08493	VTI1:YMR197C
K01078	PHO11:YAR071W
K01890	FRS1:YLR060W
K00844	EMI2:YDR516C
K02128	OLI1:Q0130
K11561	NSL1:YPL233W
K01412	MAS2:YHR024C
K01889	MSF1:YPR047W
K02978	RPS27A:YKL156W
K09424	REB1:YBR049C
K00228	HEM13:YDR044W
K00295	MTD1:YKR080W
K14228	tL(GAG)G:tL_GAG_G
K08282	MRK1:YDL079C
K14781	DHR2:YKL078W
K11680	NHP10:YDL002C
K01802	CPR7:YJR032W
K00432	HYR1:YIR037W
K00223	ERG4:YGL012W
K11204	GSH1:YJL101C
K02971	RPS21A:YKR057W
K03030	RPN11:YFR004W
K17802	SOM1:YEL059C-A
K00384	TRR1:YDR353W
K12766	RIM11:YMR139W
K02738	PRE3:YJL001W
K01568	THI3:YDL080C
K00033	GND1:YHR183W
K03257	TIF2:YJL138C
K18327	REX4:YOL080C
K11240	MSG5:YNL053W
K11253	HHT1:YBR010W
K02735	PUP3:YER094C
K14233	tS(AGA)D3:tS_AGA_D3
K01409	QRI7:YDL104C
sce_YKR037C	Spc34:YKR037C
K11771	SWI1:YPL016W
K00327	NCP1:YHR042W
K14012	SHP1:YBL058W
K00784	TRZ1:YKR079C
K13993	HSP42:YDR171W
K06675	SMC4:YLR086W
K02179	BUB2:YMR055C
K17428	MRPL4:YLR439W
K02603	ORC1:YML065W
K01210	SPR1:YOR190W
K09358	HMRA1:YCR097W
K05538	MNN1:YER001W
K04513	RHO1:YPR165W
K12831	HSH49:YOR319W
K13205	AAR2:YBL074C
K12411	YOX1:YML027W
K11303	HAT1:YPL001W
K14400	Pcf11:YDR228C
K17979	MDM31:YHR194W
K14229	tK(UUU)O:tK_UUU_O
K15223	UAF30:YOR295W
K01568	PDC6:YGR087C
K03236	TIF11:YMR260C
K03356	APC9:YLR102C
K01802	CPR3:YML078W
K18278	THI12:YNL332W
K12662	PRP4:YPR178W
K11129	NHP2:YDL208W
K00452	BNA1:YJR025C
K14225	tG(GCC)F2:tG_GCC_F2
K08257	DCW1:YKL046C
K13953	ADH5:YBR145W
K14566	Fcf1:YDR339C
K08501	SYN8:YAL014C
sce_YFL037W	Tub2:YFL037W
K14234	tT(AGU)H:tT_AGU_H
K02937	RPL7B:YPL198W
K14237	tV(CAC)H:tV_CAC_H
K01001	ALG7:YBR243C
K12199	VTA1:YLR181C
K10982	LIF1:YGL090W
K09359	HMLALPHA2:YCL067C
K14803	PTC3:YBL056W
K12584	DCS1:YLR270W
K13950	ABZ1:YNR033W
K15453	PUS6:YGR169C
K13099	LIN1:YHR156C
K16261	TAT1:YBR069C
K03124	SUA7:YPR086W
K12260	SRX1:YKL086W
K04079	HSC82:YMR186W
K17714	SAM37:YMR060C
K03506	DLS1:YJL065C
K05293	GAB1:YLR459W
K00432	GPX1:YKL026C
K12608	CAF16:YFL028C
K00463	BNA2:YJR078W
K01823	IDI1:YPL117C
K12763	SOK2:YMR016C
K01183	Cts2:YDR371W
K12041	NHX1:YDR456W
K15152	SRB7:YDR308C
K10246	SUR4:YLR372W
K03256	GCD10:YNL062C
K11484	HOS3:YPL116W
K12346	SMF2:YHR050W
K03231	Tef2:YBR118W
K14548	Utp4:YDR324C
K01408	STE23:YLR389C
K10733	PSF2:YJL072C
sce_YHR172W	Spc97:YHR172W
K08876	CEX1:YOR112W
K00621	GNA1:YFL017C
K00121	SFA1:YDL168W
K02973	RPS23B:YPR132W
K15115	FLX1:YIL134W
K03022	RPC25:YKL144C
K03507	DPB11:YJL090C
K14233	tS(GCU)F:tS_GCU_F
K05757	ARC40:YBR234C
K00728	PMT4:YJR143C
K00311	CIR2:YOR356W
K15130	MED8:YBR193C
K16219	TAE1:YBR261C
K03106	SRP54:YPR088C
K14229	tK(UUU)G1:tK_UUU_G1
K14229	tK(UUU)G2:tK_UUU_G2
K00670	ARD1:YHR013C
K03680	GCD2:YGR083C
K02958	RPS15:YOL040C
K03676	GRX1:YCL035C
K14713	YKE4:YIL023C
K14235	tW(CCA)P:tW_CCA_P
K01493	DCD1:YHR144C
K01166	RNY1:YPL123C
K12778	HOP1:YIL072W
K02898	RPL26B:YGR034W
K05546	ROT2:YBR229C
K14233	tS(GCU)Q1:tS_GCU_Q1
K04499	RVB1:YDR190C
K10756	RFC3:YNL290W
K12158	RUB1:YDR139C
K04459	PPS1:YBR276C
K02725	PRE5:YMR314W
K15219	RRN7:YJL025W
K12603	CCR4:YAL021C
K00761	FUR1:YHR128W
K00026	MDH2:YOL126C
K14688	COT1:YOR316C
K08141	MAL31:YBR298C
K15202	TFC1:YBR123C
K03130	TAF5:YBR198C
K14544	Utp22:YGR090W
K06639	CDC14:YFR028C
K04382	PPH22:YDL188C
K01802	CPR8:YNR028W
K17967	UGO1:YDR470C
K10365	CAP2:YIL034C
K00326	CBR1:YIL043C
K15110	ODC1:YPL134C
K10589	HUL5:YGL141W
K14229	tK(UUU)Q:tK_UUU_Q
K14674	Tgl4:YKR089C
K14679	TRL1:YJL087C
K14293	KAP95:YLR347C
K10401	KIP3:YGL216W
K13431	SRP101:YDR292C
K07976	YPT10:YBR264C
K14221	tD(GUC)J2:tD_GUC_J2
K14221	tD(GUC)J3:tD_GUC_J3
K02917	RPL33A:YPL143W
K01958	PYC2:YBR218C
K02926	YML6:YML025C
K14229	tK(UUU)L:tK_UUU_L
K00521	FRE4:YNR060W
K11251	HTA2:YBL003C
K17871	NDI1:YML120C
K13106	BUD13:YGL174W
K00384	TRR2:YHR106W
K00586	DPH5:YLR172C
K00826	BAT1:YHR208W
K13337	PEX19:YDL065C
K02920	RPL36A:YMR194W
K09467	MIG1:YGL035C
K03352	APC5:YOR249C
K00799	Ure2:YNL229C
K08257	DFG5:YMR238W
K00415	Qcr2:YPR191W
K12827	PRP9:YDL030W
K02894	RPL23B:YER117W
K17600	VPS54:YDR027C
K14015	NPL4:YBR170C
K11234	MF(ALPHA)1:YPL187W
K02949	RPS11B:YBR048W
K14218	tA(UGC)L:tA_UGC_L
K14847	RPF2:YKR081C
K14218	TGA1:tA_UGC_A
K00700	GLC3:YEL011W
K14218	tA(UGC)G:tA_UGC_G
K14218	tA(UGC)E:tA_UGC_E
K17669	PET309:YLR067C
K02264	Cox6:YHR051W
K10601	HRD1:YOL013C
K05532	MNN11:YJL183W
K07953	SAR1:YPL218W
K01599	HEM12:YDR047W
K14218	tA(UGC)Q:tA_UGC_Q
K09540	SEC63:YOR254C
K15507	MRM1:YOR201C
K03261	CAF20:YOR276W
K03252	NIP1:YMR309C
K18172	CMC2:YBL059C-A
K17969	FIS1:YIL065C
K11115	CDC13:YDL220C
K14001	SIL1:YOL031C
K11422	SET1:YHR119W
K00211	TYR1:YBR166C
K01098	CTL1:YMR180C
K10875	RAD54:YGL163C
K11718	KRE5:YOR336W
K02921	RPL43B:YJR094W-A
K00226	URA1:YKL216W
K01078	PHO12:YHR215W
K02967	MRP4:YHL004W
K02936	RPL8B:YLL045C
K00763	NPT1:YOR209C
K07827	RAS2:YNL098C
K17980	MDM32:YOR147W
K01610	PCK1:YKR097W
K10751	CAC2:YML102W
K14801	TSR4:YOL022C
K10839	RAD23:YEL037C
K03861	GPI19:YDR437W
K02154	STV1:YMR054W
K15102	PIC2:YER053C
K09359	HMRA2:YCR096C
K17790	TIM22:YDL217C
K11778	SRT1:YMR101C
K03800	AIM22:YJL046W
K15201	TFC4:YGR047C
K14219	TRR4:tR_CCG_L
K04554	UBC6:YER100W
K14225	SUF3:tG_CCC_D
K10089	MRL1:YPR079W
K01535	Pma1:YGL008C
sce_YJL026W	Rnr2:YJL026W
K14225	SUF5:tG_CCC_O
K14839	NOP16:YER002W
K18442	SEC7:YDR170C
K06657	PCL2:YDL127W
K14232	SUF7:tP_UGG_M
K03283	SSA3:YBL075C
K01069	GLO2:YDR272W
K11130	NOP10:YHR072W-A
K14232	SUF8:tP_UGG_H
K14232	SUF9:tP_UGG_F
K11097	SME1:YOR159C
K14232	TRN1:tP_UGG_A
K15436	MTR10:YOR160W
K13953	ADH3:YMR083W
K14852	RRS1:YOR294W
K16055	TPS3:YMR261C
K15132	MED11:YMR112C
K14310	NUP192:YJL039C
K14228	tL(UAG)L2:tL_UAG_L2
K14232	tP(UGG)Q:tP_UGG_Q
K00135	UGA2:YBR006W
K02267	Cox12:YLR038C
K02993	RPS7B:YNL096C
K00852	RBK1:YCR036W
K01187	IMA1:YGR287C
K01897	FAA2:YER015W
K08832	SKY1:YMR216C
K14225	tG(GCC)D2:tG_GCC_D2
K00129	ALD2:YMR170C
K11272	MRC1:YCL061C
K17617	NEM1:YHR004C
K17262	ALF1:YNL148C
K07152	SCO2:YBR024W
K00789	SAM2:YDR502C
K18713	THP2:YHR167W
K05544	DUS3:YLR401C
K10844	RAD3:YER171W
K15427	SIT4:YDL047W
K15435	CPD1:YGR247W
K14813	ARX1:YDR101C
K01194	ATH1:YPR026W
K13217	PRP39:YML046W
K17086	TMN2:YDR107C
K05351	XYL2:YLR070C
K02942	RPP1B:YDL130W
K04523	DSK2:YMR276W
K09550	GIM3:YNL153C
K12667	SWP1:YMR149W
K15265	PUS5:YLR165C
K12194	SNF7:YLR025W
K01802	CPR4:YCR069W
K11576	CTF13:YMR094W
K13108	PML1:YLR016C
K01887	RRS1:YDR341C
K06680	MAD3:YJL013C
K14228	tL(CAA)D:tL_CAA_D
K00566	SLM3:YDL033C
K05954	RAM1:YDL090C
K14228	SUP53:tL_CAA_C
K14228	tL(CAA)M:tL_CAA_M
K14228	tL(CAA)L:tL_CAA_L
K11227	PBS2:YJL128C
K14228	tL(CAA)N:tL_CAA_N
K05236	COP1:YDL145C
K09481	SBH2:YER019C-A
K06676	BRN1:YBL097W
K01835	PGM1:YKL127W
K14218	tA(AGC)M1:tA_AGC_M1
K14835	NOP2:YNL061W
K02935	MNP1:YGL068W
K06678	YCG1:YDR325W
K09523	JEM1:YJL073W
K14226	tH(GUG)Q:tH_GUG_Q
K00940	YNK1:YKL067W
K14226	tH(GUG)K:tH_GUG_K
K14226	tH(GUG)H:tH_GUG_H
K07893	YPT6:YLR262C
K14226	tH(GUG)M:tH_GUG_M
K02213	CDC6:YJL194W
K17768	TOM70:YNL121C
K14849	RRP1:YDR087C
sce_YMR294W	Jnm1:YMR294W
K11274	CTF4:YPR135W
K17255	GDI1:YER136W
K03857	SPT14:YPL175W
K00679	LRO1:YNR008W
K14708	SUL2:YLR092W
K00236	SDH3:YKL141W
K08329	ATG17:YLR423C
K11830	ABF2:YMR072W
K17450	ACO2:YJL200C
K14225	tG(GCC)G2:tG_GCC_G2
K12782	AMA1:YGR225W
K02355	MEF2:YJL102W
K14225	tG(GCC)G1:tG_GCC_G1
K00948	PRS4:YBL068W
K00326	MCR1:YKL150W
K17765	MDM12:YOL009C
K10356	MYO3:YKL129C
K12863	CWC15:YDR163W
K17301	SEC26:YDR238C
K12783	SSP1:YHR184W
K01507	IPP1:YBR011C
K02938	RPL2A:YFR031C-A
K12858	PRP28:YDR243C
K08286	KSP1:YHR082C
K00383	GLR1:YPL091W
K11971	ITT1:YML068W
K00382	IRC15:YPL017C
K15151	NUT2:YPR168W
K00999	PIS1:YPR113W
K08293	KDX1:YKL161C
K17970	CAF4:YKR036C
K02988	MRPS5:YBR251W
K01104	SDP1:YIL113W
K02684	PRI1:YIR008C
K00914	VPS34:YLR240W
K03115	Ckb2:YOR039W
K14233	SUP16:tS_UGA_P
K02901	RPL27B:YDR471W
K02728	PRE9:YGR135W
K14569	Bms1:YPL217C
K17775	MDM34:YGL219C
K01069	GLO4:YOR040W
K14439	FUN30:YAL019W
K11571	HSK3:YKL138C-A
K08294	MKK2:YPL140C
K14826	FPR4:YLR449W
K11399	EAF7:YNL136W
K18748	SSD1:YDR293C
K11252	HTB2:YBL002W
K14807	DBP6:YNR038W
K14225	tG(GCC)O1:tG_GCC_O1
K12576	SPO12:YHR152W
K08176	PHO84:YML123C
K04518	PHA2:YNL316C
K03801	LIP2:YLR239C
K08286	PSK1:YAL017W
K08964	MDE1:YJR024C
K07874	YPT1:YFL038C
K03854	KTR5:YNL029C
K14805	MAK5:YBR142W
K03355	CDC23:YHR166C
K00511	ERG1:YGR175C
K01230	MNS1:YJR131W
K13830	ARO1:YDR127W
K15075	MET18:YIL128W
K00876	URK1:YNR012W
K11493	SRM1:YGL097W
K17086	TMN3:YER113C
K01764	CYT2:YKL087C
K02831	RAD53:YPL153C
K12762	GPR1:YDL035C
K06116	GPP1:YIL053W
K00860	MET14:YKL001C
K11599	UMP1:YBR173C
K01874	MES1:YGR264C
K02930	RPL4B:YDR012W
K10807	RNR3:YIL066C
K00844	HXK2:YGL253W
K00864	GUT1:YHL032C
K00521	FRE7:YOL152W
K06125	COQ2:YNR041C
K03009	RPC10:YHR143W-A
K16261	AGP3:YFL055W
K02608	ORC6:YHR118C
K18043	OCA1:YNL099C
K00088	IMD2:YHR216W
K10761	THG1:YGR024C
K02519	IFM1:YOL023W
K14221	tD(GUC)I2:tD_GUC_I2
K14221	tD(GUC)I1:tD_GUC_I1
K12625	LSM6:YDR378C
K04709	LAG1:YHL003C
K03217	OXA1:YER154W
K10685	UBA2:YDR390C
K14231	tF(GAA)B:tF_GAA_B
K05533	ANP1:YEL036C
K02901	RPL27A:YHR010W
K01240	Urh1:YDR400W
K04565	Sod1:YJR104C
K11116	TEN1:YLR010C
K12764	IME1:YJR094C
K12161	URM1:YIL008W
K14837	NOP12:YOL041C
K13093	CUS2:YNL286W
K01194	NTH1:YDR001C
K01193	SUC2:YIL162W
K15451	PPM2:YOL141W
K13507	SCT1:YBL011W
K18759	EDC1:YGL222C
K18712	HPR1:YDR138W
sce_YHR129C	Arp1:YHR129C
K01897	FAA1:YOR317W
K01187	MAL32:YBR299W
K17796	TIM21:YGR033C
K15014	FUN26:YAL022C
K06210	NMA1:YLR328W
K15078	SLX1:YBR228W
K13343	PEX14:YGL153W
K08284	MID1:YNL291C
K17807	TAM41:YGR046W
K09043	YAP1:YML007W
K01536	ENA2:YDR039C
K01077	PHO8:YDR481C
K00231	HEM14:YER014W
K03262	TIF5:YPR041W
K09493	TCP1:YDR212W
K12854	BRR2:YER172C
K07975	RHO5:YNL180C
K02920	RPL36B:YPL249C-A
K07936	GSP2:YOR185C
K11304	ESA1:YOR244W
K09549	GIM4:YEL003W
K01440	PNC1:YGL037C
K11836	UBP14:YBR058C
K15204	TFC3:YAL001C
K02998	RPS0B:YLR048W
K15156	RGR1:YLR071C
K00850	PFK1:YGR240C
K01836	PCM1:YEL058W
K15015	AVT1:YJR001W
K14864	TRM7:YBR061C
K05291	GPI17:YDR434W
K11884	PNO1:YOR145C
K06634	CCL1:YPR025C
K10756	RFC5:YBR087W
K11233	SSK1:YLR006C
K02126	ATP6:Q0085
K08505	SFT1:YKL006C-A
K17800	MDM38:YOL027C
K02125	ATP8:Q0080
K03023	RPC82:YPR190C
K16948	CDC12:YHR107C
K18718	NUP60:YAR002W
K14227	tI(GAU)Q:tI_GAU_Q
K10577	UBC9:YDL064W
K10752	HAT2:YEL056W
K17667	PET111:YMR257C
K09424	NSI1:YDR026C
K12948	SPC3:YLR066W
K00868	BUD16:YEL029C
K15267	MTF1:YMR228W
K12882	STO1:YMR125W
K01693	HIS3:YOR202W
K01885	GUS1:YGL245W
K10997	TOF1:YNL273W
K11251	HTZ1:YOL012C
K01679	FUM1:YPL262W
K12817	PRP18:YGR006W
K09274	ROX1:YPR065W
K17408	RSM23:YGL129C
K17666	PET54:YGR222W
K00820	GFA1:YKL104C
K00844	GLK1:YCL040W
K07766	DDP1:YOR163W
K11245	MID2:YLR332W
K08564	NYV1:YLR093C
K01638	DAL7:YIR031C
K11774	SNF11:YDR073W
K18584	ARP3:YJR065C
K14786	KRI1:YNL308C
K01466	DAL1:YIR027C
K00615	TKL1:YPR074C
K08197	ARN1:YHL040C
K15128	MED6:YHR058C
K00858	UTR1:YJR049C
K14787	MRD1:YPR112C
sce_YML085C	Tub1:YML085C
K09272	POB3:YML069W
K14227	tI(AAU)D:tI_AAU_D
K01426	AMD2:YDR242W
K11131	CBF5:YLR175W
K02953	RPS13:YDR064W
K11230	SSK22:YCR073C
K00928	HOM3:YER052C
K09829	ERG2:YMR202W
K06669	SMC3:YJL074C
K08956	YTA12:YMR089C
K01809	PMI40:YER003C
K03283	SSA4:YER103W
K08681	SNO3:YFL060C
K00328	ARG82:YDR173C
K15448	TRM112:YNR046W
K01405	PRD1:YCL057W
K11968	HEL1:YKR017C
K13993	HSP26:YBR072W
K02145	Tfp1:YDL185W
K00981	Cds1:YBR029C
K01895	ACS2:YLR153C
K16261	CAN1:YEL063C
K01870	ILS1:YBL076C
K01930	FOL3:YMR113W
K13289	PRC1:YMR297W
K17822	DCN1:YLR128W
K03648	UNG1:YML021C
K03265	SUP45:YBR143C
K03263	ANB1:YJR047C
K07342	SSS1:YDR086C
sce_YMR006C	Plb2:YMR006C
K01739	STR2:YJR130C
K18176	COA3:YJL062W-A
K11874	UBP16:YPL072W
K03456	TPD3:YAL016W
K14225	tG(GCC)D1:tG_GCC_D1
K05692	Act1:YFL039C
K01187	IMA3:YIL172C
K01873	VAS1:YGR094W
K04716	LCB3:YJL134W
K14209	AVT3:YKL146W
K14557	Utp6:YDR449C
K02957	RPS22B:YLR367W
K01638	MLS1:YNL117W
K17605	RRD2:YPL152W
K14226	tH(GUG)G2:tH_GUG_G2
K02915	RPL34B:YIL052C
K00232	POX1:YGL205W
K01802	CWC27:YPL064C
K14430	PHO91:YNR013C
K02183	CMD1:YBR109C
K18730	SMY2:YBR172C
K13280	SEC11:YIR022W
K01293	CPS1:YJL172W
K14790	NOP9:YJL010C
K08341	ATG8:YBL078C
K17715	SAM35:YHR083W
K02991	RPS6A:YPL090C
K02143	ATP19:YOL077W-A
K17675	SUV3:YPL029W
K01897	FAA4:YMR246W
K02261	Cox2:Q0250
K08744	CRD1:YDL142C
K18726	UBX3:YDL091C
K11243	FUS1:YCL027W
K17674	SOV1:YMR066W
K13800	URA6:YKL024C
K13303	YPK1:YKL126W
K03783	PNP1:YLR209C
K14219	tR(UCU)M2:tR_UCU_M2
K14219	tR(UCU)M1:tR_UCU_M1
K16073	MNR2:YKL064W
K10983	NEJ1:YLR265C
K13345	PEX12:YMR026C
K04648	NIP100:YPL174C
K00128	ALD6:YPL061W
K05756	ARC18:YLR370C
K08139	Hxt6:YDR343C
K00942	GUK1:YDR454C
K01897	FAA3:YIL009W
K01875	DIA4:YHR011W
K06100	Pta1:YAL043C
K15445	TRM10:YOL093W
K16261	LYP1:YNL268W
K02207	CDC34:YDR054C
K00565	ABD1:YBR236C
K02997	RPS9B:YBR189W
K18757	SRO9:YCL037C
K09062	OPI1:YHL020C
K00856	ADO1:YJR105W
K15559	RTT103:YDR289C
K00888	STT4:YLR305C
K00818	ARG8:YOL140W
K08488	PEP12:YOR036W
K04371	Fus3:YBL016W
K00706	GSC2:YGR032W
K11665	INO80:YGL150C
K02987	RPS4A:YJR145C
K03177	PUS4:YNL292W
K17784	MIC10:YCL057C-A
K12594	MPP6:YNR024W
K09102	INO4:YOL108C
K03657	SRS2:YJL092W
K00728	PMT2:YAL023C
K02975	RPS25A:YGR027C
K14573	Nop4:YPL043W
K17945	TPM2:YIL138C
